word,points
area,1
national,1
data,1
appear,1
international,1
campaign,1
available,1
organization,1
character,1
language,1
administration,1
attack,1
analysis,1
material,1
animal,1
natural,1
financial,1
candidate,1
approach,1
standard,1
camera,1
manage,1
marriage,1
association,1
management,1
particular,1
manager,1
maintain,1
participant,1
traditional,1
afraid,1
restaurant,1
capital,1
magazine,1
additional,1
application,1
amazing,1
advantage,1
associate,1
average,1
appreciate,1
attack,1
apartment,1
actual,1
aware,1
damage,1
captain,1
annual,1
affair,1
average,1
academic,1
approach,1
participate,1
appropriate,1
award,1
familiar,1
baseball,1
disappear,1
educational,1
chairman,1
balance,1
standard,1
appearance,1
capacity,1
variable,1
package,1
explanation,1
separate,1
analyst,1
basketball,1
appeal,1
attract,1
separate,1
agenda,1
characteristic,1
assistance,1
landscape,1
reasonable,1
alternative,1
capable,1
analyze,1
evaluate,1
graduate,1
passage,1
advance,1
breakfast,1
academy,1
abandon,1
practical,1
evaluation,1
fundamental,1
attach,1
racial,1
transportation,1
valuable,1
participation,1
accurate,1
mama,1
assault,1
dramatic,1
salary,1
graduate,1
drama,1
awareness,1
vacation,1
arrange,1
narrative,1
fantasy,1
approval,1
alternative,1
advance,1
manufacturer,1
guarantee,1
advanced,1
advocate,1
translate,1
apparent,1
arrangement,1
alliance,1
calculate,1
substantial,1
administrator,1
laboratory,1
quarterback,1
preparation,1
variation,1
assistant,1
galaxy,1
accompany,1
narrator,1
taxpayer,1
adapt,1
extraordinary,1
damage,1
balance,1
database,1
remarkable,1
capability,1
fantastic,1
imagination,1
radical,1
attractive,1
ambassador,1
scandal,1
appeal,1
salad,1
assistant,1
characterize,1
grandfather,1
aircraft,1
garage,1
satisfaction,1
allegation,1
anniversary,1
manufacturing,1
maintenance,1
mainstream,1
acceptable,1
examination,1
radiation,1
mandate,1
headquarters,1
facilitate,1
transaction,1
anticipate,1
transformation,1
arrival,1
hardware,1
administrative,1
marijuana,1
associate,1
associated,1
fascinating,1
alarm,1
advocate,1
agricultural,1
bacteria,1
adequate,1
statistical,1
garbage,1
acceptance,1
collaboration,1
array,1
translation,1
habitat,1
rational,1
